,id,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level
58,59,Pen,Grolle,pgrolle1m@tripadvisor.com,female,barrage,scion,pgrolle1m,46,Indonesia,14
59,60,Cherilyn,Scutcheon,cscutcheon1n@comsenz.com,female,barrage,scion,cscutcheon1n,186,China,100
60,61,Cahra,Rawes,crawes1o@oaic.gov.au,female,arctic armour,other,crawes1o,390,Peru,100
61,62,Port,Caulcutt,pcaulcutt1p@cornell.edu,female,barrage,other,pcaulcutt1p,144,Nigeria,100
62,63,Fifine,Pinchen,fpinchen1q@wikipedia.org,female,barrage,other,fpinchen1q,441,China,100
63,64,Geoff,,gcogger1r@nytimes.com,female,animate weapon,other,gcamier1r,397,China,100
64,65,Jarrad,Meechan,jmeechan1s@elegantthemes.com,female,arctic armour,scion,jmeechan1s,310,Indonesia,100
65,66,Zedekiah,,zferraresi1t@storify.com,female,animate weapon,other,ztomson1t,54,Nigeria,61
66,67,Hester,Verrill,hverrill1u@tmall.com,female,barrage,scion,hverrill1u,51,Slovenia,66
67,68,Gareth,Spadaro,gspadaro1v@livejournal.com,female,animate weapon,scion,gspadaro1v,252,Portugal,100
68,69,Graham,Attwoul,gattwoul1w@topsy.com,female,animate weapon,other,gattwoul1w,273,Uruguay,100
69,70,,,vromi1x@sciencedaily.com,female,barrage,other,csargint1x,105,Portugal,45
70,71,Edith,Lyst,elyst1y@opensource.org,female,animate weapon,scion,elyst1y,392,China,100
71,72,Walton,,wramsdell1z@jalbum.net,female,arctic armour,other,wbetts1z,24,Poland,2
72,73,Paul,,prootes20@stumbleupon.com,female,animate weapon,scion,plysaght20,225,United States,100
73,74,Ferris,Wroath,fwroath21@pinterest.com,female,animate weapon,scion,fwroath21,284,China,100
74,75,Riane,Farfoot,rfarfoot22@shutterfly.com,female,barrage,other,rfarfoot22,32,China,14
75,76,Flor,Callander,fcallander23@tiny.cc,female,animate weapon,other,fcallander23,256,Germany,100
76,77,Harold,Davidov,hdavidov24@issuu.com,female,barrage,scion,hdavidov24,295,France,100
77,78,Molli,,mhaps25@wp.com,female,barrage,scion,mgyves25,118,Serbia,45
78,79,Aloysius,,ajimmes26@elegantthemes.com,female,animate weapon,scion,aokielt26,50,Ukraine,60
79,80,Scotty,,sfarbrace27@cocolog-nifty.com,female,animate weapon,scion,smuino27,164,China,100
80,81,Janenna,,jstihl28@furl.net,female,animate weapon,scion,jseagar28,264,United States,100
81,82,Gregorio,Bartolic,gbartolic29@howstuffworks.com,female,animate weapon,other,gbartolic29,423,China,100
82,83,Sandor,Popov,spopov2a@cmu.edu,female,animate weapon,scion,spopov2a,325,Thailand,100
83,84,Garrik,,gsaunderson2b@seattletimes.com,female,barrage,other,gelldred2b,297,Japan,100
84,85,Padget,Kiledal,pkiledal2c@youtube.com,female,arctic armour,scion,pkiledal2c,126,China,100
85,86,Evita,Golthorpp,egolthorpp2d@newsvine.com,female,barrage,scion,egolthorpp2d,295,China,100
86,87,Yehudi,,ycordero2e@cpanel.net,female,arctic armour,other,ybaynes2e,170,Haiti,100
87,88,Charline,Rickard,crickard2f@nyu.edu,female,animate weapon,other,crickard2f,139,Bosnia and Herzegovina,100
88,89,Gavrielle,,gkersey2g@sina.com.cn,female,barrage,scion,gfryd2g,262,Russia,100
89,90,Rudolfo,Imesen,rimesen2h@paginegialle.it,female,barrage,other,rimesen2h,253,China,100
90,91,Lacie,Durdle,ldurdle2i@acquirethisname.com,female,barrage,other,ldurdle2i,275,Pakistan,100
91,92,Lauraine,Spatari,lspatari2j@nyu.edu,female,arctic armour,scion,lspatari2j,298,Ukraine,100
92,93,Derry,,dcorrao2k@disqus.com,female,arctic armour,scion,dgouinlock2k,69,Philippines,70
93,94,,MacColl,bmaccoll2l@dagondesign.com,female,animate weapon,scion,jmaccoll2l,6,Brazil,20
94,95,Charo,,cmunnings2m@rambler.ru,female,animate weapon,scion,ckumar2m,54,Philippines,50
95,96,Roslyn,Louisot,rlouisot2n@google.it,female,arctic armour,other,rlouisot2n,429,Ukraine,100
96,97,Ceil,,cgooding2o@tinyurl.com,female,arctic armour,scion,cgobeau2o,373,Indonesia,100
97,98,Bree,Agget,bagget2p@eventbrite.com,female,animate weapon,other,bagget2p,329,Russia,100
98,99,Alric,Sutliff,asutliff2q@businessinsider.com,female,barrage,scion,asutliff2q,53,Ukraine,62
99,100,Vernon,Findlow,vfindlow2r@nbcnews.com,male,arctic armour,other,vfindlow2r,182,Philippines,100
100,101,Burton,Brandom,bbrandom2s@ucoz.ru,male,barrage,other,bbrandom2s,170,China,100
101,102,Rudolf,Prestner,rprestner2t@cloudflare.com,male,barrage,scion,rprestner2t,342,China,100
102,103,Si,Tearney,stearney2u@hhs.gov,male,barrage,scion,stearney2u,358,China,100
103,104,Jen,Corben,jcorben2v@biglobe.ne.jp,male,animate weapon,scion,jcorben2v,13,China,21
104,105,Georgie,Narramore,gnarramore2w@house.gov,male,barrage,other,gnarramore2w,330,Philippines,100
105,106,Townsend,Upsale,tupsale2x@privacy.gov.au,male,barrage,other,tupsale2x,72,Greece,33
106,107,Patrice,Burr,pburr2y@sciencedirect.com,male,arctic armour,other,pburr2y,450,Indonesia,100
107,108,Roze,Lindblad,rlindblad2z@hexun.com,male,animate weapon,other,rlindblad2z,16,Indonesia,20
108,109,Herman,,hbragg30@msn.com,male,barrage,scion,hhellyar30,113,Bulgaria,68
109,110,Carmine,Pirdy,cpirdy31@bbc.co.uk,male,arctic armour,other,cpirdy31,245,Greece,100
110,111,Paula,Perillio,pperillio32@tinyurl.com,male,barrage,scion,pperillio32,400,Kazakhstan,100
111,112,Eliot,Schooley,eschooley33@cbslocal.com,male,barrage,other,eschooley33,371,China,100
112,113,Lorilee,Greeve,lgreeve34@oaic.gov.au,male,animate weapon,scion,lgreeve34,284,China,100
113,114,,Berston,cberston35@aboutads.info,male,barrage,other,cberston35,176,China,100
114,115,Burg,,blaweles36@hhs.gov,male,arctic armour,scion,bserfati36,412,Serbia,100
115,116,Cherianne,Pritty,cpritty37@scribd.com,male,animate weapon,other,cpritty37,79,Brazil,36
116,117,Russell,,rpauncefort38@opera.com,male,arctic armour,other,rsaffrin38,272,Russia,100
117,118,Stesha,Della,sdella39@joomla.org,male,barrage,other,sdella39,224,China,100
118,119,Giles,,glopez3a@deviantart.com,male,barrage,other,gmcilwraith3a,377,Norway,100
119,120,Herrick,,hvickerstaff3b@bizjournals.com,male,arctic armour,other,hpeirce3b,224,Poland,100
120,121,Louie,,lnoller3c@mayoclinic.com,male,barrage,other,lingreda3c,422,China,100
121,122,Aurel,,alamcken3d@cpanel.net,male,animate weapon,other,aschwaiger3d,55,Argentina,36
122,123,Shalna,Pownall,spownall3e@msn.com,male,animate weapon,other,spownall3e,12,Philippines,23
123,124,Millisent,Backhurst,mbackhurst3f@topsy.com,male,arctic armour,scion,mbackhurst3f,229,Argentina,100
124,125,Corilla,Killock,ckillock3g@oracle.com,male,arctic armour,other,ckillock3g,268,Democratic Republic of the Congo,100
125,126,Conni,,cartois3h@intel.com,male,barrage,other,cwithers3h,425,Poland,100
126,127,Glynis,Merriton,gmerriton3i@who.int,male,arctic armour,scion,gmerriton3i,231,Pakistan,100
127,128,Tina,,tsyer3j@reverbnation.com,male,barrage,other,twaddilove3j,251,Chad,100
128,129,Martina,Veeler,mveeler3k@sogou.com,male,arctic armour,other,mveeler3k,167,Philippines,100
129,130,Ruddy,Shapera,rshapera3l@weibo.com,male,arctic armour,other,rshapera3l,359,Czech Republic,100
130,131,Holt,Ruddell,hruddell3m@taobao.com,male,arctic armour,scion,hruddell3m,143,Ukraine,100
131,132,Sheryl,Povah,spovah3n@scientificamerican.com,male,barrage,scion,spovah3n,316,China,100
132,133,Leopold,Middlebrook,lmiddlebrook3o@illinois.edu,male,arctic armour,other,lmiddlebrook3o,204,Guatemala,100
133,134,,Metheringham,fmetheringham3p@drupal.org,male,arctic armour,other,jmetheringham3p,59,Indonesia,59
134,135,,,kteresi3q@plala.or.jp,male,animate weapon,scion,aknightsbridge3q,343,Slovenia,100
135,136,,Bedboro,ebedboro3r@cafepress.com,male,barrage,scion,ybedboro3r,312,Norway,100
136,137,Dee,,dmcgeagh3s@symantec.com,male,animate weapon,other,dthorwarth3s,13,Philippines,17
137,138,Lars,,lallison3t@diigo.com,male,animate weapon,other,lplante3t,376,Palestinian Territory,100
138,139,,,ctakis3u@ca.gov,male,barrage,scion,wmorfey3u,326,Ukraine,100
139,140,,,jeadmead3v@sciencedaily.com,male,barrage,scion,tfoux3v,166,Latvia,100
140,141,Cate,,cschulz3w@newsvine.com,male,animate weapon,scion,crings3w,388,Ireland,100
141,142,Merrick,Gason,mgason3x@163.com,male,barrage,other,mgason3x,51,Armenia,49
142,143,Berrie,Kabos,bkabos3y@indiegogo.com,male,animate weapon,scion,bkabos3y,44,China,23
143,144,Marie,,mdybell3z@weather.com,male,animate weapon,scion,mvertigan3z,95,Philippines,30
144,145,Elsy,Hultberg,ehultberg40@live.com,male,arctic armour,other,ehultberg40,231,Armenia,100
145,146,Cele,Faherty,cfaherty41@last.fm,male,arctic armour,scion,cfaherty41,149,Nicaragua,100
146,147,Aveline,Sharper,asharper42@cornell.edu,male,animate weapon,scion,asharper42,102,Niger,47
147,148,Shirley,Baldacchino,sbaldacchino43@blogger.com,male,animate weapon,scion,sbaldacchino43,219,France,100
148,149,Mycah,Nowak,mnowak44@sitemeter.com,male,animate weapon,other,mnowak44,423,Indonesia,100
149,150,Bobbe,Cleynaert,bcleynaert45@bbb.org,male,barrage,scion,bcleynaert45,386,China,100
150,151,Florie,,flampl46@smh.com.au,male,arctic armour,other,fgrewer46,392,Philippines,100
151,152,Rosemaria,,rthaller47@reuters.com,male,barrage,other,rbarnaclough47,327,Indonesia,100
152,153,Chlo,,ccolleford48@dropbox.com,male,animate weapon,other,cnorthleigh48,401,Peru,100
153,154,Alvira,Heinig,aheinig49@seesaa.net,male,barrage,scion,aheinig49,142,Philippines,100
154,155,Maxy,Kinney,mkinney4a@netlog.com,male,barrage,other,mkinney4a,424,Indonesia,100
155,156,Amelie,,acasetti4b@dailymail.co.uk,male,barrage,other,amoynihan4b,403,China,100
156,157,Vilhelmina,Roadknight,vroadknight4c@ehow.com,male,barrage,scion,vroadknight4c,17,South Africa,11
157,158,Iris,Hankey,ihankey4d@hubpages.com,male,arctic armour,scion,ihankey4d,313,Argentina,100
158,159,Dierdre,Elan,delan4e@fotki.com,male,arctic armour,other,delan4e,325,Morocco,100
159,160,Dennie,,dgraftonherbert4f@deliciousdays.com,male,animate weapon,other,dscruby4f,89,China,66
160,161,Hailee,Finlaison,hfinlaison4g@fastcompany.com,male,animate weapon,scion,hfinlaison4g,190,Philippines,100
161,162,Bartholemy,Alenshev,balenshev4h@mail.ru,male,animate weapon,other,balenshev4h,322,Iran,100
162,163,Mariel,,mashurst4i@icio.us,male,barrage,scion,mkrystof4i,184,China,100
163,164,Chicky,Warlowe,cwarlowe4j@statcounter.com,male,animate weapon,other,cwarlowe4j,398,China,100
164,165,Mabelle,,mcotelard4k@51.la,male,barrage,other,mglavias4k,255,Czech Republic,100
165,166,Wendall,,wdacks4l@jiathis.com,male,barrage,other,wollenbuttel4l,301,Portugal,100
166,167,Herman,,hbrigdale4m@weibo.com,male,barrage,scion,helcy4m,90,Slovenia,67
167,168,Cam,,chellyer4n@about.com,male,animate weapon,scion,cnickless4n,328,Ukraine,100
168,169,Porter,,pbodocs4o@netlog.com,male,barrage,scion,ppetrozzi4o,246,China,100
169,170,Trenna,,tbownass4p@1und1.de,male,barrage,scion,tgherardini4p,186,Tunisia,100
170,171,Dmitri,,drosencrantz4q@istockphoto.com,male,barrage,scion,dbeckensall4q,223,Venezuela,100
171,172,Yoko,Allebone,yallebone4r@arizona.edu,male,animate weapon,scion,yallebone4r,365,Syria,100
172,173,Angelia,Lowndes,alowndes4s@paginegialle.it,male,animate weapon,scion,alowndes4s,162,Poland,100
173,174,Yale,Allabarton,yallabarton4t@list-manage.com,male,barrage,scion,yallabarton4t,272,Greece,100
174,175,Carlene,,camoore4u@bloomberg.com,male,animate weapon,other,cosorio4u,424,China,100
175,176,Antonella,,acote4v@behance.net,male,barrage,other,agreenalf4v,273,Pakistan,100
176,177,Joya,,jluna4w@example.com,male,barrage,scion,jbougen4w,116,China,48
177,178,Tamera,Danovich,tdanovich4x@yellowbook.com,male,barrage,other,tdanovich4x,50,Russia,58
178,179,Ford,Salkild,fsalkild4y@yellowpages.com,male,barrage,scion,fsalkild4y,251,China,100
179,180,,,gsidry4z@comsenz.com,male,barrage,scion,jtripean4z,135,Argentina,100
180,181,Lonni,,lcroke50@miibeian.gov.cn,male,arctic armour,scion,lpoulsum50,79,Indonesia,42
181,182,Alessandra,Reignard,areignard51@51.la,male,barrage,scion,areignard51,167,China,100
182,183,Ilka,Doggett,idoggett52@creativecommons.org,male,barrage,other,idoggett52,30,Pakistan,8
183,184,Alec,,abourdas53@goodreads.com,male,animate weapon,scion,aettles53,129,Brazil,100
184,185,Vilma,Pinkie,vpinkie54@reddit.com,male,animate weapon,other,vpinkie54,54,Argentina,29
185,186,,,krosin55@wikispaces.com,male,arctic armour,other,bblockley55,210,Canada,100
186,187,Nissy,Gleasane,ngleasane56@java.com,male,barrage,other,ngleasane56,66,Bulgaria,64
187,188,Giffie,Waryk,gwaryk57@google.ru,male,arctic armour,scion,gwaryk57,392,France,100
188,189,Sapphira,De Simoni,sdesimoni58@51.la,male,barrage,scion,sdesimoni58,310,Russia,100
189,190,Clo,Davenhall,cdavenhall59@aol.com,male,barrage,other,cdavenhall59,308,Poland,100
190,191,Terese,Ropkins,tropkins5a@chronoengine.com,male,arctic armour,scion,tropkins5a,22,Uganda,19
191,192,Annice,Schubart,aschubart5b@over-blog.com,male,animate weapon,other,aschubart5b,44,Germany,1
192,193,Madelle,McNickle,mmcnickle5c@comsenz.com,male,animate weapon,scion,mmcnickle5c,170,Portugal,100
193,194,Katherina,Angeau,kangeau5d@technorati.com,male,arctic armour,scion,kangeau5d,347,Greece,100
194,195,Hazlett,Deplacido,hdeplacido5e@yale.edu,male,barrage,scion,hdeplacido5e,401,Brazil,100
195,196,,,eandrioni5f@soup.io,male,arctic armour,other,nlovegrove5f,58,Portugal,27
196,197,Farand,Norsister,fnorsister5g@sohu.com,male,arctic armour,scion,fnorsister5g,316,China,100
197,198,Isaak,Emmott,iemmott5h@dagondesign.com,male,animate weapon,scion,iemmott5h,352,Indonesia,100
198,199,,Kneesha,okneesha5i@pen.io,male,arctic armour,other,skneesha5i,206,Czech Republic,100
199,200,Thorpe,Soonhouse,tsoonhouse5j@jimdo.com,male,arctic armour,other,tsoonhouse5j,397,Serbia,100
200,201,Zelma,De Pietri,zdepietri5k@fema.gov,male,animate weapon,scion,zdepietri5k,220,United States,100
201,202,Clarence,,ceggleton5l@ucoz.ru,male,barrage,scion,cticehurst5l,120,Indonesia,100
202,203,Joelle,,jskillanders5m@about.com,male,arctic armour,other,jdigiacomettino5m,7,Indonesia,8
203,204,,,sgiffon5n@skyrock.com,male,barrage,other,alinstead5n,285,Philippines,100
204,205,Pris,Greensitt,pgreensitt5o@last.fm,male,animate weapon,other,pgreensitt5o,191,Kenya,100
205,206,Aksel,,avaudre5p@ovh.net,male,animate weapon,other,ahamber5p,421,Vanuatu,100
206,207,Albertina,Seabourne,aseabourne5q@epa.gov,male,animate weapon,scion,aseabourne5q,362,Ukraine,100
207,208,Florenza,,flutton5r@ucla.edu,male,barrage,other,fharte5r,60,Czech Republic,53
208,209,Bank,,bwinnett5s@comcast.net,male,barrage,other,bmccorley5s,98,Bulgaria,42
209,210,Lilith,,lreedie5t@ehow.com,male,barrage,other,lviger5t,187,Colombia,100
210,211,Rourke,,rshewring5u@aboutads.info,male,arctic armour,other,rbraz5u,350,Russia,100
211,212,Evan,Saur,esaur5v@mit.edu,male,animate weapon,scion,esaur5v,161,Indonesia,100
212,213,Markos,,mfassmann5w@lulu.com,male,barrage,scion,mzambonini5w,266,China,100
213,214,Margaux,Feely,mfeely5x@msn.com,male,barrage,other,mfeely5x,398,Indonesia,100
214,215,Llewellyn,,lcecil5y@dedecms.com,male,arctic armour,scion,lbeaty5y,144,Russia,100
215,216,Cassius,Northcote,cnorthcote5z@lycos.com,male,barrage,other,cnorthcote5z,221,Sweden,100
216,217,Tisha,,tfotheringham60@webs.com,male,arctic armour,scion,tvallintine60,300,Hungary,100
217,218,Lauritz,,liacovuzzi61@yandex.ru,male,barrage,scion,lsedgemond61,20,Estonia,3
218,219,Abagael,,aewin62@upenn.edu,male,arctic armour,other,aisacq62,269,Sweden,100
219,220,Hogan,Dallyn,hdallyn63@apache.org,male,arctic armour,scion,hdallyn63,325,Portugal,100
220,221,Tyrone,Rickets,trickets64@imgur.com,male,animate weapon,scion,trickets64,118,Ireland,52
221,222,Corny,,cglenister65@sbwire.com,male,animate weapon,other,csummerill65,45,Sweden,25
222,223,Giraldo,Leist,gleist66@army.mil,male,arctic armour,scion,gleist66,285,Brazil,100
223,224,Eloise,Deathridge,edeathridge67@wiley.com,male,arctic armour,other,edeathridge67,405,Chad,100
224,225,Verile,,vtilberry68@photobucket.com,male,arctic armour,other,vransbury68,355,Mexico,100
225,226,,Seman,eseman69@newyorker.com,male,barrage,other,dseman69,259,Russia,100
226,227,Kahaleel,,kvescovo6a@imdb.com,male,arctic armour,other,kcristofolo6a,389,China,100
227,228,Gwenore,,gmacloughlin6b@skype.com,male,barrage,scion,gmaccarlich6b,220,China,100
228,229,Denni,,dkobpa6c@pinterest.com,male,barrage,other,dingleby6c,262,Myanmar,100
229,230,Egan,Prest,eprest6d@engadget.com,male,arctic armour,other,eprest6d,305,Portugal,100
230,231,Noelyn,Benedettini,nbenedettini6e@cocolog-nifty.com,male,animate weapon,scion,nbenedettini6e,80,Czech Republic,32
231,232,Dee,,dlodden6f@homestead.com,male,arctic armour,other,dternault6f,124,China,100
232,233,Neille,,nbreckenridge6g@ftc.gov,male,barrage,scion,nmurison6g,184,China,100
233,234,Korie,,kfarmloe6h@scribd.com,male,animate weapon,other,kstanyforth6h,349,Micronesia,100
234,235,Abdul,,aleahey6i@free.fr,male,barrage,other,agenery6i,142,New Caledonia,100
235,236,Pierce,Tinklin,ptinklin6j@netscape.com,male,barrage,scion,ptinklin6j,108,Indonesia,31
236,237,Upton,,ujeremiah6k@mayoclinic.com,male,arctic armour,scion,ulambis6k,140,China,100
237,238,Kristopher,,kcooch6l@nature.com,male,animate weapon,scion,kmartugin6l,172,Honduras,100
238,239,Jacob,,jcuphus6m@indiegogo.com,male,arctic armour,other,jmackowle6m,279,Russia,100
239,240,Jean,Groveham,jgroveham6n@mozilla.com,male,barrage,scion,jgroveham6n,13,Philippines,6
240,241,Anstice,Chaucer,achaucer6o@ihg.com,male,arctic armour,scion,achaucer6o,330,Netherlands,100
241,242,Felice,Bernholt,fbernholt6p@ihg.com,male,animate weapon,other,fbernholt6p,235,Luxembourg,100
242,243,James,Scarlan,jscarlan6q@phpbb.com,male,arctic armour,scion,jscarlan6q,307,Japan,100
243,244,,Newvell,hnewvell6r@ow.ly,male,barrage,scion,bnewvell6r,163,Indonesia,100
244,245,Fania,,fholbury6s@oaic.gov.au,male,animate weapon,other,fcrane6s,200,Indonesia,100
245,246,Kylie,,kdye6t@whitehouse.gov,male,barrage,scion,kwinchurst6t,202,China,100
246,247,,,jnutty6u@foxnews.com,male,barrage,scion,nbasire6u,1,China,21
247,248,Prentiss,,pnorbury6v@imdb.com,male,animate weapon,scion,pblodg6v,409,Russia,100
248,249,Rosamund,,rshillitto6w@soundcloud.com,male,barrage,other,rdenisevich6w,182,Bangladesh,100
249,250,Vergil,Lambird,vlambird6x@bravesites.com,male,barrage,other,vlambird6x,124,Denmark,100
250,251,Gabriel,Kleyn,gkleyn6y@hhs.gov,male,arctic armour,other,gkleyn6y,391,Finland,100
251,252,,Auton,lauton6z@sciencedirect.com,male,arctic armour,other,mauton6z,16,Portugal,11
252,253,Ahmad,Godmar,agodmar70@yellowbook.com,male,arctic armour,scion,agodmar70,58,Portugal,35
253,254,Marybeth,,mmelly71@apple.com,male,barrage,other,mmcquillan71,122,Argentina,100
254,255,Rutherford,Fanton,rfanton72@ebay.com,male,arctic armour,other,rfanton72,66,Philippines,46
255,256,Vick,Westney,vwestney73@yolasite.com,male,barrage,scion,vwestney73,140,France,100
256,257,Marieann,Villalta,mvillalta74@ehow.com,male,animate weapon,scion,mvillalta74,353,Brazil,100
257,258,Louis,Stockwell,lstockwell75@unc.edu,male,barrage,other,lstockwell75,292,China,100
258,259,Sybille,Ende,sende76@cam.ac.uk,male,animate weapon,scion,sende76,394,Brazil,100
259,260,Jens,Boadby,jboadby77@gnu.org,male,barrage,other,jboadby77,444,China,100
260,261,Sheba,Heenan,sheenan78@europa.eu,male,barrage,other,sheenan78,312,China,100
261,262,Felita,Dungay,fdungay79@techcrunch.com,male,arctic armour,other,fdungay79,89,China,32
262,263,Gerhardt,Tows,gtows7a@ocn.ne.jp,male,animate weapon,scion,gtows7a,349,Philippines,100
263,264,,Flintoft,kflintoft7b@yahoo.co.jp,male,arctic armour,scion,rflintoft7b,326,China,100
264,265,Gal,Izkovicz,gizkovicz7c@jalbum.net,male,arctic armour,scion,gizkovicz7c,212,China,100
265,266,Reine,,rframmingham7d@acquirethisname.com,male,barrage,scion,rtobias7d,36,Philippines,14
266,267,,,rwyper7e@g.co,male,arctic armour,scion,osicily7e,66,Greece,68
267,268,Niven,Opfer,nopfer7f@smugmug.com,male,barrage,scion,nopfer7f,299,France,100
268,269,,Gillan,kgillan7g@furl.net,male,arctic armour,other,jgillan7g,426,Russia,100
269,270,Janek,Semken,jsemken7h@narod.ru,male,barrage,scion,jsemken7h,20,Indonesia,13
270,271,Ber,,bmoscon7i@goo.ne.jp,male,barrage,scion,beates7i,300,Russia,100
271,272,Barn,Robison,brobison7j@hp.com,male,barrage,other,brobison7j,219,Russia,100
