index,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level;
78,Aloysius,,ajimmes26@elegantthemes.com,female,animate weapon,Chieftain,aokielt26,50,Ukraine,60;
79,Scotty,,sfarbrace27@cocolog-nifty.com,female,animate weapon,Assassin,smuino27,164,China,100;
80,Janenna,,jstihl28@furl.net,female,animate weapon,Elementalist,jseagar28,264,United States,100;
81,Gregorio,Bartolic,gbartolic29@howstuffworks.com,female,animate weapon,Trickster,gbartolic29,423,China,100;
82,Sandor,Popov,spopov2a@cmu.edu,female,animate weapon,Hierophant,spopov2a,325,Thailand,100;
83,Garrik,,gsaunderson2b@seattletimes.com,female,barrage,Ascendant,gelldred2b,297,Japan,100;
84,Padget,Kiledal,pkiledal2c@youtube.com,female,arctic armour,Juggernaut,pkiledal2c,126,China,100;
85,Evita,Golthorpp,egolthorpp2d@newsvine.com,female,barrage,Juggernaut,egolthorpp2d,295,China,100;
86,Yehudi,,ycordero2e@cpanel.net,female,arctic armour,Necromancer,ybaynes2e,170,Haiti,100;
87,Charline,Rickard,crickard2f@nyu.edu,female,animate weapon,Champion,crickard2f,139,Bosnia and Herzegovina,100;
88,Gavrielle,,gkersey2g@sina.com.cn,female,barrage,Ascendant,gfryd2g,262,Russia,100;
89,Rudolfo,Imesen,rimesen2h@paginegialle.it,female,barrage,Necromancer,rimesen2h,253,China,100;
90,Lacie,Durdle,ldurdle2i@acquirethisname.com,female,barrage,Slayer,ldurdle2i,275,Pakistan,100;
91,Lauraine,Spatari,lspatari2j@nyu.edu,female,arctic armour,Elementalist,lspatari2j,298,Ukraine,100;
92,Derry,,dcorrao2k@disqus.com,female,arctic armour,Assassin,dgouinlock2k,69,Philippines,70;
93,,MacColl,bmaccoll2l@dagondesign.com,female,animate weapon,Ascendant,jmaccoll2l,6,Brazil,20;
94,Charo,,cmunnings2m@rambler.ru,female,animate weapon,Deadeye,ckumar2m,54,Philippines,50;
95,Roslyn,Louisot,rlouisot2n@google.it,female,arctic armour,Occultist,rlouisot2n,429,Ukraine,100;
96,Ceil,,cgooding2o@tinyurl.com,female,arctic armour,Elementalist,cgobeau2o,373,Indonesia,100;
97,Bree,Agget,bagget2p@eventbrite.com,female,animate weapon,Assassin,bagget2p,329,Russia,100;
98,Alric,Sutliff,asutliff2q@businessinsider.com,female,barrage,Saboteur,asutliff2q,53,Ukraine,62;
99,Vernon,Findlow,vfindlow2r@nbcnews.com,male,arctic armour,Ascendant,vfindlow2r,182,Philippines,100;
100,Burton,Brandom,bbrandom2s@ucoz.ru,male,barrage,Saboteur,bbrandom2s,170,China,100;
101,Rudolf,Prestner,rprestner2t@cloudflare.com,male,barrage,Hierophant,rprestner2t,342,China,100;
102,Si,Tearney,stearney2u@hhs.gov,male,barrage,Pathfinder,stearney2u,358,China,100;
103,Jen,Corben,jcorben2v@biglobe.ne.jp,male,animate weapon,Pathfinder,jcorben2v,13,China,21;
104,Georgie,Narramore,gnarramore2w@house.gov,male,barrage,Assassin,gnarramore2w,330,Philippines,100;
105,Townsend,Upsale,tupsale2x@privacy.gov.au,male,barrage,Berserker,tupsale2x,72,Greece,33;
106,Patrice,Burr,pburr2y@sciencedirect.com,male,arctic armour,Inquisitor,pburr2y,450,Indonesia,100;
107,Roze,Lindblad,rlindblad2z@hexun.com,male,animate weapon,Saboteur,rlindblad2z,16,Indonesia,20;
108,Herman,,hbragg30@msn.com,male,barrage,Slayer,hhellyar30,113,Bulgaria,68;
109,Carmine,Pirdy,cpirdy31@bbc.co.uk,male,arctic armour,Elementalist,cpirdy31,245,Greece,100;
110,Paula,Perillio,pperillio32@tinyurl.com,male,barrage,Saboteur,pperillio32,400,Kazakhstan,100;
111,Eliot,Schooley,eschooley33@cbslocal.com,male,barrage,Gladiator,eschooley33,371,China,100;
112,Lorilee,Greeve,lgreeve34@oaic.gov.au,male,animate weapon,Berserker,lgreeve34,284,China,100;
113,,Berston,cberston35@aboutads.info,male,barrage,Inquisitor,cberston35,176,China,100;
114,Burg,,blaweles36@hhs.gov,male,arctic armour,Hierophant,bserfati36,412,Serbia,100;
115,Cherianne,Pritty,cpritty37@scribd.com,male,animate weapon,Berserker,cpritty37,79,Brazil,36;
116,Russell,,rpauncefort38@opera.com,male,arctic armour,Occultist,rsaffrin38,272,Russia,100;
117,Stesha,Della,sdella39@joomla.org,male,barrage,Hierophant,sdella39,224,China,100;
118,Giles,,glopez3a@deviantart.com,male,barrage,Berserker,gmcilwraith3a,377,Norway,100;
119,Herrick,,hvickerstaff3b@bizjournals.com,male,arctic armour,Guardian,hpeirce3b,224,Poland,100;
120,Louie,,lnoller3c@mayoclinic.com,male,barrage,Slayer,lingreda3c,422,China,100;
121,Aurel,,alamcken3d@cpanel.net,male,animate weapon,Deadeye,aschwaiger3d,55,Argentina,36;
122,Shalna,Pownall,spownall3e@msn.com,male,animate weapon,Guardian,spownall3e,12,Philippines,23;
123,Millisent,Backhurst,mbackhurst3f@topsy.com,male,arctic armour,Inquisitor,mbackhurst3f,229,Argentina,100;
124,Corilla,Killock,ckillock3g@oracle.com,male,arctic armour,Trickster,ckillock3g,268,Democratic Republic of the Congo,100;
125,Conni,,cartois3h@intel.com,male,barrage,Chieftain,cwithers3h,425,Poland,100;
126,Glynis,Merriton,gmerriton3i@who.int,male,arctic armour,Gladiator,gmerriton3i,231,Pakistan,100;
127,Tina,,tsyer3j@reverbnation.com,male,barrage,Juggernaut,twaddilove3j,251,Chad,100;
128,Martina,Veeler,mveeler3k@sogou.com,male,arctic armour,Slayer,mveeler3k,167,Philippines,100;
129,Ruddy,Shapera,rshapera3l@weibo.com,male,arctic armour,Gladiator,rshapera3l,359,Czech Republic,100;
130,Holt,Ruddell,hruddell3m@taobao.com,male,arctic armour,Juggernaut,hruddell3m,143,Ukraine,100;
131,Sheryl,Povah,spovah3n@scientificamerican.com,male,barrage,Occultist,spovah3n,316,China,100;
132,Leopold,Middlebrook,lmiddlebrook3o@illinois.edu,male,arctic armour,Juggernaut,lmiddlebrook3o,204,Guatemala,100;
133,,Metheringham,fmetheringham3p@drupal.org,male,arctic armour,Slayer,jmetheringham3p,59,Indonesia,59;
134,,,kteresi3q@plala.or.jp,male,animate weapon,Berserker,aknightsbridge3q,343,Slovenia,100;
135,,Bedboro,ebedboro3r@cafepress.com,male,barrage,Guardian,ybedboro3r,312,Norway,100;
136,Dee,,dmcgeagh3s@symantec.com,male,animate weapon,Deadeye,dthorwarth3s,13,Philippines,17;
137,Lars,,lallison3t@diigo.com,male,animate weapon,Elementalist,lplante3t,376,Palestinian Territory,100;
138,,,ctakis3u@ca.gov,male,barrage,Saboteur,wmorfey3u,326,Ukraine,100;
139,,,jeadmead3v@sciencedaily.com,male,barrage,Elementalist,tfoux3v,166,Latvia,100;
140,Cate,,cschulz3w@newsvine.com,male,animate weapon,Assassin,crings3w,388,Ireland,100;
141,Merrick,Gason,mgason3x@163.com,male,barrage,Assassin,mgason3x,51,Armenia,49;
142,Berrie,Kabos,bkabos3y@indiegogo.com,male,animate weapon,Guardian,bkabos3y,44,China,23;
143,Marie,,mdybell3z@weather.com,male,animate weapon,Pathfinder,mvertigan3z,95,Philippines,30;
144,Elsy,Hultberg,ehultberg40@live.com,male,arctic armour,Occultist,ehultberg40,231,Armenia,100;
145,Cele,Faherty,cfaherty41@last.fm,male,arctic armour,Assassin,cfaherty41,149,Nicaragua,100;
146,Aveline,Sharper,asharper42@cornell.edu,male,animate weapon,Chieftain,asharper42,102,Niger,47;
147,Shirley,Baldacchino,sbaldacchino43@blogger.com,male,animate weapon,Berserker,sbaldacchino43,219,France,100;
148,Mycah,Nowak,mnowak44@sitemeter.com,male,animate weapon,Raider,mnowak44,423,Indonesia,100;
149,Bobbe,Cleynaert,bcleynaert45@bbb.org,male,barrage,Gladiator,bcleynaert45,386,China,100;
150,Florie,,flampl46@smh.com.au,male,arctic armour,Inquisitor,fgrewer46,392,Philippines,100;
151,Rosemaria,,rthaller47@reuters.com,male,barrage,Berserker,rbarnaclough47,327,Indonesia,100;
152,Chlo,,ccolleford48@dropbox.com,male,animate weapon,Guardian,cnorthleigh48,401,Peru,100;
153,Alvira,Heinig,aheinig49@seesaa.net,male,barrage,Elementalist,aheinig49,142,Philippines,100;
154,Maxy,Kinney,mkinney4a@netlog.com,male,barrage,Gladiator,mkinney4a,424,Indonesia,100;
155,Amelie,,acasetti4b@dailymail.co.uk,male,barrage,Pathfinder,amoynihan4b,403,China,100;
156,Vilhelmina,Roadknight,vroadknight4c@ehow.com,male,barrage,Assassin,vroadknight4c,17,South Africa,11;
157,Iris,Hankey,ihankey4d@hubpages.com,male,arctic armour,Chieftain,ihankey4d,313,Argentina,100;
158,Dierdre,Elan,delan4e@fotki.com,male,arctic armour,Berserker,delan4e,325,Morocco,100;
159,Dennie,,dgraftonherbert4f@deliciousdays.com,male,animate weapon,Trickster,dscruby4f,89,China,66;
160,Hailee,Finlaison,hfinlaison4g@fastcompany.com,male,animate weapon,Elementalist,hfinlaison4g,190,Philippines,100;
161,Bartholemy,Alenshev,balenshev4h@mail.ru,male,animate weapon,Berserker,balenshev4h,322,Iran,100;
162,Mariel,,mashurst4i@icio.us,male,barrage,Necromancer,mkrystof4i,184,China,100;
163,Chicky,Warlowe,cwarlowe4j@statcounter.com,male,animate weapon,Assassin,cwarlowe4j,398,China,100;
164,Mabelle,,mcotelard4k@51.la,male,barrage,Guardian,mglavias4k,255,Czech Republic,100;
165,Wendall,,wdacks4l@jiathis.com,male,barrage,Raider,wollenbuttel4l,301,Portugal,100;
166,Herman,,hbrigdale4m@weibo.com,male,barrage,Occultist,helcy4m,90,Slovenia,67;
167,Cam,,chellyer4n@about.com,male,animate weapon,Saboteur,cnickless4n,328,Ukraine,100;
168,Porter,,pbodocs4o@netlog.com,male,barrage,Deadeye,ppetrozzi4o,246,China,100;
169,Trenna,,tbownass4p@1und1.de,male,barrage,Ascendant,tgherardini4p,186,Tunisia,100;
170,Dmitri,,drosencrantz4q@istockphoto.com,male,barrage,Trickster,dbeckensall4q,223,Venezuela,100;
171,Yoko,Allebone,yallebone4r@arizona.edu,male,animate weapon,Elementalist,yallebone4r,365,Syria,100;
172,Angelia,Lowndes,alowndes4s@paginegialle.it,male,animate weapon,Deadeye,alowndes4s,162,Poland,100;
173,Yale,Allabarton,yallabarton4t@list-manage.com,male,barrage,Slayer,yallabarton4t,272,Greece,100;
174,Carlene,,camoore4u@bloomberg.com,male,animate weapon,Assassin,cosorio4u,424,China,100;
175,Antonella,,acote4v@behance.net,male,barrage,Juggernaut,agreenalf4v,273,Pakistan,100;
176,Joya,,jluna4w@example.com,male,barrage,Saboteur,jbougen4w,116,China,48;
177,Tamera,Danovich,tdanovich4x@yellowbook.com,male,barrage,Champion,tdanovich4x,50,Russia,58;
178,Ford,Salkild,fsalkild4y@yellowpages.com,male,barrage,Trickster,fsalkild4y,251,China,100;
179,,,gsidry4z@comsenz.com,male,barrage,Inquisitor,jtripean4z,135,Argentina,100;
180,Lonni,,lcroke50@miibeian.gov.cn,male,arctic armour,Chieftain,lpoulsum50,79,Indonesia,42;
181,Alessandra,Reignard,areignard51@51.la,male,barrage,Slayer,areignard51,167,China,100;
182,Ilka,Doggett,idoggett52@creativecommons.org,male,barrage,Occultist,idoggett52,30,Pakistan,8;
183,Alec,,abourdas53@goodreads.com,male,animate weapon,Chieftain,aettles53,129,Brazil,100;
184,Vilma,Pinkie,vpinkie54@reddit.com,male,animate weapon,Assassin,vpinkie54,54,Argentina,29;
185,,,krosin55@wikispaces.com,male,arctic armour,Trickster,bblockley55,210,Canada,100;
186,Nissy,Gleasane,ngleasane56@java.com,male,barrage,Assassin,ngleasane56,66,Bulgaria,64;
187,Giffie,Waryk,gwaryk57@google.ru,male,arctic armour,Raider,gwaryk57,392,France,100;
188,Sapphira,De Simoni,sdesimoni58@51.la,male,barrage,Hierophant,sdesimoni58,310,Russia,100;
189,Clo,Davenhall,cdavenhall59@aol.com,male,barrage,Pathfinder,cdavenhall59,308,Poland,100;
190,Terese,Ropkins,tropkins5a@chronoengine.com,male,arctic armour,Slayer,tropkins5a,22,Uganda,19;
191,Annice,Schubart,aschubart5b@over-blog.com,male,animate weapon,Juggernaut,aschubart5b,44,Germany,1;
192,Madelle,McNickle,mmcnickle5c@comsenz.com,male,animate weapon,Gladiator,mmcnickle5c,170,Portugal,100;
193,Katherina,Angeau,kangeau5d@technorati.com,male,arctic armour,Slayer,kangeau5d,347,Greece,100;
194,Hazlett,Deplacido,hdeplacido5e@yale.edu,male,barrage,Ascendant,hdeplacido5e,401,Brazil,100;
195,,,eandrioni5f@soup.io,male,arctic armour,Gladiator,nlovegrove5f,58,Portugal,27;
196,Farand,Norsister,fnorsister5g@sohu.com,male,arctic armour,Assassin,fnorsister5g,316,China,100;
197,Isaak,Emmott,iemmott5h@dagondesign.com,male,animate weapon,Gladiator,iemmott5h,352,Indonesia,100;
198,,Kneesha,okneesha5i@pen.io,male,arctic armour,Champion,skneesha5i,206,Czech Republic,100;
199,Thorpe,Soonhouse,tsoonhouse5j@jimdo.com,male,arctic armour,Deadeye,tsoonhouse5j,397,Serbia,100;
200,Zelma,De Pietri,zdepietri5k@fema.gov,male,animate weapon,Saboteur,zdepietri5k,220,United States,100;
201,Clarence,,ceggleton5l@ucoz.ru,male,barrage,Trickster,cticehurst5l,120,Indonesia,100;
202,Joelle,,jskillanders5m@about.com,male,arctic armour,Chieftain,jdigiacomettino5m,7,Indonesia,8;
203,,,sgiffon5n@skyrock.com,male,barrage,Ascendant,alinstead5n,285,Philippines,100;
204,Pris,Greensitt,pgreensitt5o@last.fm,male,animate weapon,Juggernaut,pgreensitt5o,191,Kenya,100;
205,Aksel,,avaudre5p@ovh.net,male,animate weapon,Champion,ahamber5p,421,Vanuatu,100;
206,Albertina,Seabourne,aseabourne5q@epa.gov,male,animate weapon,Guardian,aseabourne5q,362,Ukraine,100;
207,Florenza,,flutton5r@ucla.edu,male,barrage,Gladiator,fharte5r,60,Czech Republic,53;
208,Bank,,bwinnett5s@comcast.net,male,barrage,Saboteur,bmccorley5s,98,Bulgaria,42;
209,Lilith,,lreedie5t@ehow.com,male,barrage,Berserker,lviger5t,187,Colombia,100;
210,Rourke,,rshewring5u@aboutads.info,male,arctic armour,Guardian,rbraz5u,350,Russia,100;
211,Evan,Saur,esaur5v@mit.edu,male,animate weapon,Deadeye,esaur5v,161,Indonesia,100;
212,Markos,,mfassmann5w@lulu.com,male,barrage,Champion,mzambonini5w,266,China,100;
213,Margaux,Feely,mfeely5x@msn.com,male,barrage,Guardian,mfeely5x,398,Indonesia,100;
214,Llewellyn,,lcecil5y@dedecms.com,male,arctic armour,Berserker,lbeaty5y,144,Russia,100;
215,Cassius,Northcote,cnorthcote5z@lycos.com,male,barrage,Hierophant,cnorthcote5z,221,Sweden,100;
216,Tisha,,tfotheringham60@webs.com,male,arctic armour,Guardian,tvallintine60,300,Hungary,100;
217,Lauritz,,liacovuzzi61@yandex.ru,male,barrage,Trickster,lsedgemond61,20,Estonia,3;
218,Abagael,,aewin62@upenn.edu,male,arctic armour,Assassin,aisacq62,269,Sweden,100;
219,Hogan,Dallyn,hdallyn63@apache.org,male,arctic armour,Slayer,hdallyn63,325,Portugal,100;
220,Tyrone,Rickets,trickets64@imgur.com,male,animate weapon,Necromancer,trickets64,118,Ireland,52;
221,Corny,,cglenister65@sbwire.com,male,animate weapon,Pathfinder,csummerill65,45,Sweden,25;
222,Giraldo,Leist,gleist66@army.mil,male,arctic armour,Necromancer,gleist66,285,Brazil,100;
223,Eloise,Deathridge,edeathridge67@wiley.com,male,arctic armour,Elementalist,edeathridge67,405,Chad,100;
224,Verile,,vtilberry68@photobucket.com,male,arctic armour,Gladiator,vransbury68,355,Mexico,100;
225,,Seman,eseman69@newyorker.com,male,barrage,Champion,dseman69,259,Russia,100;
226,Kahaleel,,kvescovo6a@imdb.com,male,arctic armour,Deadeye,kcristofolo6a,389,China,100;
227,Gwenore,,gmacloughlin6b@skype.com,male,barrage,Deadeye,gmaccarlich6b,220,China,100;
228,Denni,,dkobpa6c@pinterest.com,male,barrage,Hierophant,dingleby6c,262,Myanmar,100;
229,Egan,Prest,eprest6d@engadget.com,male,arctic armour,Assassin,eprest6d,305,Portugal,100;
230,Noelyn,Benedettini,nbenedettini6e@cocolog-nifty.com,male,animate weapon,Elementalist,nbenedettini6e,80,Czech Republic,32;
231,Dee,,dlodden6f@homestead.com,male,arctic armour,Chieftain,dternault6f,124,China,100;
232,Neille,,nbreckenridge6g@ftc.gov,male,barrage,Champion,nmurison6g,184,China,100;
233,Korie,,kfarmloe6h@scribd.com,male,animate weapon,Juggernaut,kstanyforth6h,349,Micronesia,100;
234,Abdul,,aleahey6i@free.fr,male,barrage,Chieftain,agenery6i,142,New Caledonia,100;
235,Pierce,Tinklin,ptinklin6j@netscape.com,male,barrage,Assassin,ptinklin6j,108,Indonesia,31;
236,Upton,,ujeremiah6k@mayoclinic.com,male,arctic armour,Assassin,ulambis6k,140,China,100;
237,Kristopher,,kcooch6l@nature.com,male,animate weapon,Saboteur,kmartugin6l,172,Honduras,100;
238,Jacob,,jcuphus6m@indiegogo.com,male,arctic armour,Deadeye,jmackowle6m,279,Russia,100;
239,Jean,Groveham,jgroveham6n@mozilla.com,male,barrage,Juggernaut,jgroveham6n,13,Philippines,6;
240,Anstice,Chaucer,achaucer6o@ihg.com,male,arctic armour,Inquisitor,achaucer6o,330,Netherlands,100;
241,Felice,Bernholt,fbernholt6p@ihg.com,male,animate weapon,Inquisitor,fbernholt6p,235,Luxembourg,100;
242,James,Scarlan,jscarlan6q@phpbb.com,male,arctic armour,Inquisitor,jscarlan6q,307,Japan,100;
243,,Newvell,hnewvell6r@ow.ly,male,barrage,Ascendant,bnewvell6r,163,Indonesia,100;
244,Fania,,fholbury6s@oaic.gov.au,male,animate weapon,Berserker,fcrane6s,200,Indonesia,100;
245,Kylie,,kdye6t@whitehouse.gov,male,barrage,Trickster,kwinchurst6t,202,China,100;
246,,,jnutty6u@foxnews.com,male,barrage,Champion,nbasire6u,1,China,21;
247,Prentiss,,pnorbury6v@imdb.com,male,animate weapon,Chieftain,pblodg6v,409,Russia,100;
248,Rosamund,,rshillitto6w@soundcloud.com,male,barrage,Slayer,rdenisevich6w,182,Bangladesh,100;
249,Vergil,Lambird,vlambird6x@bravesites.com,male,barrage,Champion,vlambird6x,124,Denmark,100;
250,Gabriel,Kleyn,gkleyn6y@hhs.gov,male,arctic armour,Trickster,gkleyn6y,391,Finland,100;
251,,Auton,lauton6z@sciencedirect.com,male,arctic armour,Saboteur,mauton6z,16,Portugal,11;
252,Ahmad,Godmar,agodmar70@yellowbook.com,male,arctic armour,Assassin,agodmar70,58,Portugal,35;
253,Marybeth,,mmelly71@apple.com,male,barrage,Guardian,mmcquillan71,122,Argentina,100;
254,Rutherford,Fanton,rfanton72@ebay.com,male,arctic armour,Berserker,rfanton72,66,Philippines,46;
255,Vick,Westney,vwestney73@yolasite.com,male,barrage,Champion,vwestney73,140,France,100;
256,Marieann,Villalta,mvillalta74@ehow.com,male,animate weapon,Hierophant,mvillalta74,353,Brazil,100;
257,Louis,Stockwell,lstockwell75@unc.edu,male,barrage,Ascendant,lstockwell75,292,China,100;
258,Sybille,Ende,sende76@cam.ac.uk,male,animate weapon,Necromancer,sende76,394,Brazil,100;
259,Jens,Boadby,jboadby77@gnu.org,male,barrage,Hierophant,jboadby77,444,China,100;
260,Sheba,Heenan,sheenan78@europa.eu,male,barrage,Guardian,sheenan78,312,China,100;
